Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
ADK589000L,ff1979d2-5868-4712-8b79-1fb8f2ced136,Failure to Yield Right of Way,Evidence Test Given,Breath,0,Other Handicap,9/28/1958,Evidence Test Given,Positive,Fatal Injury,On Roadway Not at Crosswalk,Other,No Pedestrian Signal,Reflective Clothing,M,Other,Other Conveyance,1,Mixed Clothing
ADK8900004,8c2c82d3-9667-4be6-8074-26c28627d4ff,Unknown,N/A,,,Apparently Normal,2/5/1991,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,N/A
ADF81900CF,42689dd0-46b3-4b80-8241-2e49e216eb21,In Roadway Improperly,Other,Blood,0,Apparently Normal,11/19/1956,Other,Negative,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADF81900CD,47aa6a85-1bd4-4712-87ac-dacdfc711805,In Roadway Improperly,Other,Blood,0,Using Drugs,2/21/1951,Other,Positive,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,M,Other,Pedestrian,1,Dark Clothing
ADF95500CP,bf6420ad-5820-4bba-8866-c8e665241f4e,No Improper Actions,Evidence Test Given,Blood,0,Apparently Normal,3/25/1961,Evidence Test Given,Negative,Fatal Injury,Shoulder,Walking/Riding With Traffic,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADF95500CP,cda98420-1faf-4d01-8b45-f4d8b33ef45a,No Improper Actions,N/A,,,Apparently Normal,7/11/1952,N/A,,Suspected Serious Injury,Shoulder,Walking/Riding With Traffic,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ793005P,794ef344-8e73-4cbe-86c6-18965b2f6e53,Inattentive,Evidence Test Given,Other,0,Using Drugs,7/16/1969,Evidence Test Given,Positive,Fatal Injury,Outside Right of Way,Cross/Enter Not at Intersection,N/A,None,M,Illegal Drug Present,Pedestrian,1,Dark Clothing
ADK025002P,318f8437-96d3-46a8-9577-367cf3f0de6e,Unknown,Other,Blood,0,,12/15/1987,Other,Positive,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,F,Illegal Drug Present,Pedestrian,1,Unknown
ADI89800CL,0051f0c5-cd27-4c26-aaab-62738e72619a,No Improper Actions,N/A,,,Apparently Normal,10/3/1953,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Light Clothing
ADI89800CN,4da752e6-f61a-404a-b6d2-85c4ded0dbb5,Failure to Yield Right of Way,N/A,,,N/A,2/22/1993,N/A,,Fatal Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Bicyclist,1,Mixed Clothing
